date, pm25, pm10, o3, no2, so2, co
2019/2/16, 179, 93, 30, 11, 4, 6
2019/2/17, 163, 116, 18, 19, 5, 8
2019/2/18, 183, 106, 28, 19, 4, 10
2019/2/19, 175, 104, 5, 23, 4, 13
2019/2/20, 163, 90, 16, 16, 4, 9
2019/2/21, 140, 82, 19, 10, 3, 6
2019/2/22, 140, 74, 25, 12, 5, 3
2019/2/23, 127, 88, 26, 16, 8, 5
2019/2/24, 158, 97, 65, 19, 5, 9
2019/2/25, 165, 74, 86, 25, 6, 10
2019/2/26, 130, 62, 82, 20, 4, 26
2019/2/27, 116, 71, 92, 22, 2, 10
2019/2/28, 122, 86, 97, 17, 4, 14
2019/3/1, 145, 93, 98, 28, 5, 11
2019/3/2, 168, 61, 96, 17, 3, 58
2019/3/3, 136, 89, 76, 16, 5, 15
2019/3/4, 163, 71, 86, 13, 4, 11
2019/3/5, 135, 80, 32, 14, 4, 9
2019/3/6, 143, 78, 62, 13, 5, 9
2019/3/7, 133, 87, 59, 19, 4, 13
2019/3/8, 140, 89, 51, 16, 6, 12
2019/3/9, 130, 79, 77, 14, 5, 4
2019/3/10, 132, 109, 50, 18, 4, 13
2019/3/11, 144, 75, 44, 14, 4, 12
2019/3/12, 115, 107, 23, 26, 5, 10
2019/3/13, 146, 103, 30, 17, 5, 8
2019/3/14, 145, 92, 49, 13, 5, 11
2019/3/15, 139, 79, 61, 12, 5, 5
2019/3/16, 140, 96, 60, 15, 8, 6
2019/3/17, 149, 98, 64, 16, 8, 18
2019/3/18, 153, 109, 53, 18, 7, 10
2019/3/19, 146, 111, 35, 19, 4, 9
2019/3/20, 141, 116, 66, 15, 7, 13
2019/3/21, 176, 77, 49, 8, 5, 3
2019/3/22, 88, 86, 55, 11, 7, 13
2019/3/23, 117, 87, 49, 11, 7, 6
2019/3/24, 122, 92, 43, 14, 9, 8
2019/3/25, 132, 100, 59, 15, 7, 7
2019/3/26, 140, 80, 67, 13, 6, 5
2019/3/27, 123, 102, 84, 20, 5, 11
2019/3/28, 137, 119, 90, 20, 6, 16
2019/3/29, 157, 115, 73, 20, 8, 26
2019/3/30, 152, 108, 55, 13, 7, 6
2019/3/31, 119, 99, 61, 11, 8, 4
2018/10/1, 137, 88, 47, 8, 4, 5
2018/10/2, 133, 79, 45, 10, 5, 5
2018/10/3, 110, 104, 70, 12, 5, 9
2018/10/4, 156, 126, 93, 16, 8, 11
2018/10/5, 177, 91, 53, 10, 4, 7
2018/10/6, 138, 102, 67, 9, 5, 8
2018/10/7, 150, 126, 83, 15, 7, 11
2018/10/8, 174, 128, 54, 16, 9, 18
2018/10/9, 174, 121, 33, 18, 7, 14
2018/10/10, 166, 117, 32, 15, 5, 13
2018/10/11, 140, 89, 47, 15, 6, 11
2018/10/12, 141, 113, 53, 12, 6, 13
2018/10/13, 172, 99, 46, 11, 4, 13
2018/10/14, 150, 120, 52, 13, 5, 15
2018/10/15, 166, 136, 38, 13, 5, 20
2018/10/16, 174, 128, 51, 11, 5, 15
2018/10/17, 169, 136, 27, 14, 6, 18
2018/10/18, 178, 135, 58, 14, 6, 15
2018/10/19, 177, 140, 52, 14, 6, 15
2018/10/20, 206, 130, 54, 13, 6, 14
2018/10/21, 186, 115, 51, 11, 5, 12
2018/10/22, 165, 101, 62, 14, 5, 12
2018/10/23, 153, 139, 66, 16, 7, 20
2018/10/24, 186, 140, 55, 18, 9, 22
2018/10/25, 186, 129, 40, 16, 6, 23
2018/10/26, 190, 154, 66, 16, 8, 20
2018/10/27, 209, 150, 61, 11, 7, 19
2018/10/28, 224, 158, 54, 11, 6, 18
2018/10/29, 228, 199, 59, 18, 7, 23
2018/10/30, 267, 147, 55, 13, 6, 22
2018/10/31, 216, 161, 53, 12, 8, 19
2018/11/1, 221, 172, 53, 9, 8, 17
2018/11/2, 237, 161, 30, 7, 6, 30
2018/11/3, 227, , , , , 
2018/11/5, 247, 127, 45, 11, 7, 4
2018/11/6, 186, 183, 48, 12, 10, 5
